trasa,opoznione,wszystkie,ile_razy_anulowane
LUG-ZRH,563,563,1
FRA-STR,603,603,1
FRA-HAJ,638,640,0.996875
NUE-FRA,740,745,0.99328859060402684564
FRA-NUE,640,645,0.99224806201550387597
FRA-DUS,744,750,0.992
DUS-FRA,954,965,0.98860103626943005181
FRA-BRU,696,705,0.98723404255319148936
MUC-DUS,598,606,0.98679867986798679868
FRA-HAM,669,681,0.98237885462555066079
MUC-TXL,654,667,0.98050974512743628186
DUS-MUC,629,642,0.97975077881619937695
FRA-MUC,916,935,0.97967914438502673797
HAM-FRA,769,785,0.9796178343949044586
GVA-FRA,561,575,0.97565217391304347826
STR-FRA,613,631,0.97147385103011093502
MUC-FRA,899,930,0.96666666666666666667
HAJ-FRA,569,589,0.96604414261460101868
BRU-FRA,684,709,0.96473906911142454161
TXL-MUC,751,780,0.96282051282051282051
FRA-TXL,981,1027,0.95520934761441090555
TXL-CGN,532,558,0.95340501792114695341
TXL-FRA,1121,1182,0.94839255499153976311
CGN-TXL,547,581,0.9414802065404475043
BGO-OSL,494,529,0.93383742911153119093
DUB-LHR,520,571,0.9106830122591943958
LHR-ABZ,472,523,0.90248565965583173996
LHR-DUB,556,617,0.90113452188006482982
LHR-FRA,522,583,0.89536878216123499142
BRU-LHR,452,506,0.89328063241106719368
FRA-LHR,538,612,0.87908496732026143791
LHR-MAD,637,757,0.84147952443857331572
LHR-EDI,536,639,0.83881064162754303599
MAD-LHR,612,748,0.81818181818181818182
LCY-AMS,438,538,0.81412639405204460967
ABZ-LHR,475,594,0.7996632996632996633
EDI-LHR,542,689,0.78664731494920174165
MAN-LHR,491,666,0.73723723723723723724
LHR-EWR,429,609,0.70443349753694581281
LHR-IAH,354,529,0.66918714555765595463
LHR-ORD,557,843,0.66073546856465005931
LHR-JFK,932,1442,0.64632454923717059639
GLA-LHR,318,505,0.62970297029702970297
AMS-LHR,312,501,0.62275449101796407186
JFK-LHR,616,1044,0.59003831417624521073
CDG-JFK,413,715,0.57762237762237762238
JFK-CDG,342,601,0.56905158069883527454
ORD-LHR,228,531,0.42937853107344632768
JFK-MXP,25,736,0.03396739130434782609
JFK-FCO,15,605,0.02479338842975206612
MIA-FCO,2,600,0.00333333333333333333
BOS-FCO,2,654,0.0030581039755351682
